sample_id,src_info,archive,scene_path,target_type,target_id,other_type,other_id,target_class_name,other_class_name,ts,ax,ay,az,bx,by,bz,avx,avy,bvx,bvy,theta_a,theta_b,rel_x_local,rel_y_local,rel_vx_local,rel_vy_local,dist_xy,theta_local,heading_diff,closing_speed,interaction_zone,motion_relation,direction_relation,label_a,label_b,nearest_signal_ts,f1,f2,f3,f1_state,f2_state,f3_state
1443,20231023_105026/005,imptc_set_04.tar.gz,0184_20231023_105026,vrus,005,vehicles,1037,person,car,1698058247440008,4.707734577309208,7.7014265227894105,1.716573371832126,4.706663685727102,7.702016078477437,0.8336137239845559,-0.8442872125161641,-1.0215047216643314,-0.9230436643427318,-1.0721361015471456,-2.261496126610788,-2.2816067994033356,0.00022781037551211012,-0.0012010358540526368,0.08920059064051705,-0.028449428158246227,0.0012224502811611258,-1.3833449409085463,-0.020110672792547746,-0.04457408545344721,right_side,stable,same_direction,crosswalk,crosswalk,1698058247600014,10,4,10,red,green,red
2237,20231122_113201/003,imptc_set_05.tar.gz,0254_20231122_113201,vrus,003,vehicles,1099,person,car,1700652775440008,9.036644658410612,14.296589498442973,1.6548255966496836,9.03873874139882,14.30494889710652,0.918117496496297,1.617794185875365,0.7308861535353904,1.4762586392850214,0.8123824463056695,0.42433272523459437,0.5030721131121868,0.005350037671645773,0.006755873480874647,-0.0954302121779714,0.1325406778600205,0.008617698624204391,0.9010083696608344,0.07873938787759244,-0.04466074265412109,left_side,stable,same_direction,crosswalk,crosswalk,1700652775480017,10,4,10,red,green,red
2437,20231122_122447/021,imptc_set_05.tar.gz,0269_20231122_122447,vrus,021,vehicles,1094,person,car,1700656009800029,4.670179195636864,8.90449052253407,1.8290921138431304,4.687210043860824,8.786151729914769,0.8686465623907018,0.6914884294828899,0.9458387515400952,1.2221807279291301,0.9538853855489552,0.9395111914004385,0.6627235242165314,-0.0854800109382519,-0.08358999557254382,0.31970121529670414,-0.4236628339692263,0.11955801783996571,-2.3673729166936983,-0.2767876671839071,-0.0676316919709031,rear,stable,same_direction,crosswalk,crosswalk,1700656009480017,10,4,10,red,green,red
1957,20231116_110657/006,imptc_set_05.tar.gz,0220_20231116_110657,vrus,006,vehicles,1013,person,car,1700132832560005,6.780386523379084,10.879478624111046,1.8489501623277798,6.678488726073819,11.048643720533923,0.8813549856813419,0.0022297484393853555,0.5245990824813282,1.1517352931660996,1.0839042179632212,1.5665459666882724,0.7550666756603153,0.16873046736540853,0.10261588729858954,0.5641858812078063,-1.1471179204334878,0.19748415365144117,0.5464012217213867,-0.8114792910279571,0.11402016520262132,front,stable,crossing_direction,crosswalk,crosswalk,1700132832280002,10,4,10,red,green,red
2162,20231122_103034/008,imptc_set_05.tar.gz,0241_20231122_103034,vrus,008,vehicles,1046,person,car,1700649088399999,9.780579081025571,14.474687030778192,1.6466999316129307,9.888901946050304,14.261696158692711,0.9173101715330408,1.3854607590957713,0.5406427688180131,-0.3407154712789993,-0.2816348478611511,0.37205219645912724,-2.450842307175656,0.023483626372873337,-0.23779712776078527,-1.9069978369026748,-0.13850670471475002,0.23895387563063283,-1.472360619601529,-2.8228945036347834,0.04957746806849683,right_side,stable,opposite_direction,crosswalk,crosswalk,1700649088440008,10,10,10,red,red,red
2248,20231122_113201/016,imptc_set_05.tar.gz,0254_20231122_113201,vrus,016,vehicles,1099,person,car,1700652772119996,4.609300116267289,10.361509466005167,1.5013281144644226,4.442740110002711,10.664319113696175,0.7184331690719025,1.1664386100657187,1.0220507951637188,1.2762772208592312,1.2256304589691025,0.7195176244107107,0.7651576701814902,0.07428447193670451,0.3375170153498842,0.2167756892536879,0.08073103792687372,0.34559502082872817,1.3541591835368325,0.045640045770779514,-0.12543921051914197,left_side,stable,same_direction,crosswalk,crosswalk,1700652772519996,10,4,10,red,green,red
2206,20231122_110958/015,imptc_set_05.tar.gz,0248_20231122_110958,vrus,015,vehicles,1043,person,car,1700651418600014,3.178162297619813,7.596904254264054,1.8114522205244348,3.4143893140162427,7.905622996802094,0.8891442197087301,-1.187524449286505,-1.031501948192761,-0.7864168005519516,-0.9940110813988816,-2.426390209029636,-2.2401206357719703,-0.38079063877110664,-0.07815980229069525,-0.32740582662255824,0.23473034669577247,0.38872929561563535,-2.9391477914823296,0.18626957325766558,-0.2735234971144315,rear,receding,same_direction,crosswalk,crosswalk,1700651418480017,10,4,10,red,green,red
2157,20231122_103034/003,imptc_set_05.tar.gz,0241_20231122_103034,vrus,003,vehicles,1046,person,car,1700649078800029,-0.07177149196916964,5.823151263598568,1.7048476603147082,0.32407949978186285,6.125296813819269,0.8776700865082199,1.120658480293451,0.8729637829856505,0.8076050694052896,1.3121870415053358,0.6617880553302528,1.0190831124376176,0.4979617702708323,-0.00490066701431352,0.022949004347264934,0.5388811112785746,0.497985884527309,-0.009841134599833002,0.35729505710736487,-0.017644777125315647,front,stable,same_direction,crosswalk,crosswalk,1700649078480017,10,4,10,red,green,red
2438,20231122_122447/022,imptc_set_05.tar.gz,0269_20231122_122447,vrus,022,vehicles,1094,person,car,1700656011680002,6.946898123657817,10.956956352117194,1.7036654692848356,6.61714361316117,10.54582567623974,0.8920412635060169,0.9657447670153484,0.8077210193051374,0.7831492726226638,0.9528507032897073,0.6965283839993596,0.8828428415866728,-0.5167105373177274,-0.10381083982494538,-0.046955072612684806,0.22847091916020199,0.5270355489341635,-2.94332498946753,0.18631445758731324,-0.0010329906720647347,rear,stable,same_direction,crosswalk,crosswalk,1700656011480017,10,4,10,red,green,red
2417,20231122_122447/000,imptc_set_05.tar.gz,0269_20231122_122447,vrus,000,vehicles,1094,person,car,1700656007960035,2.3044737281313026,6.6166192950820175,1.6591650465534082,2.7376152393142723,6.975235624078921,1.0351090610450147,1.2520548840391093,0.23460300920642965,0.8046186073799467,0.834052842561531,0.1852265947965158,0.8033584874243976,0.49177853102643165,0.2727106828757662,-0.3293824447028866,0.6715999772942397,0.5623319661312896,0.5063218463741467,0.6181318926278818,-0.03764550994854582,front,stable,same_direction,crosswalk,crosswalk,1700656007480017,10,4,10,red,green,red
