sample_id,scene_path,timestamp,target_id,target_class_name,target_x_ego,target_y_ego,target_velocity,other_type,other_id,other_class_name,other_velocity,dx,dy,dz,distance
0001,0000_20230322_081506,1679472925960035,002,person,0.0,0.0,4.546872,vrus,001,scooter,0.577696,0.07748,0.926041,0.109735,0.929277
0004,0001_20230322_083454,1679474128520035,000,person,0.0,0.0,0.05795,vrus,013,person,0.049304,0.617334,-0.516575,0.315503,0.804954
0004,0001_20230322_083454,1679474128520035,000,person,0.0,0.0,0.05795,vrus,008,scooter,0.135257,-0.417157,-1.446449,0.19301,1.505402
0004,0001_20230322_083454,1679474128520035,000,person,0.0,0.0,0.05795,vrus,003,person,0.108727,1.67738,-0.446639,0.169337,1.735825
0004,0001_20230322_083454,1679474128520035,000,person,0.0,0.0,0.05795,vrus,001,person,0.067906,-0.845417,1.711952,0.072605,1.909322
0005,0001_20230322_083454,1679474127040035,001,person,0.0,0.0,0.061104,vrus,000,person,0.021451,0.847879,-1.705876,-0.071526,1.90497
0005,0001_20230322_083454,1679474127040035,001,person,0.0,0.0,0.061104,vrus,013,person,0.110979,1.497484,-2.221803,0.249645,2.679341
0005,0001_20230322_083454,1679474127040035,001,person,0.0,0.0,0.061104,vrus,008,scooter,0.099706,0.492005,-3.111306,0.120938,3.149967
0005,0001_20230322_083454,1679474127040035,001,person,0.0,0.0,0.061104,vrus,003,person,0.067773,2.529939,-2.115896,0.098482,3.298122
0006,0001_20230322_083454,1679474140080035,002,person,0.0,0.0,0.034496,vrus,000,person,0.050869,0.171255,1.624073,-0.012684,1.633077
0006,0001_20230322_083454,1679474140080035,002,person,0.0,0.0,0.034496,vrus,003,person,0.06249,1.955615,1.110898,0.134197,2.249116
0006,0001_20230322_083454,1679474140080035,002,person,0.0,0.0,0.034496,vrus,001,person,0.104263,-0.608574,3.319273,0.044654,3.374602
0007,0001_20230322_083454,1679474137160035,003,person,0.0,0.0,0.074956,vrus,000,person,0.096327,-1.872161,0.647112,-0.165209,1.980843
0007,0001_20230322_083454,1679474137160035,003,person,0.0,0.0,0.074956,vrus,002,person,0.663915,-1.929304,-1.066504,-0.107528,2.20446
0007,0001_20230322_083454,1679474137160035,003,person,0.0,0.0,0.074956,vrus,005,person,4.213131,-2.957632,0.504318,0.006166,3.000321
0007,0001_20230322_083454,1679474137160035,003,person,0.0,0.0,0.074956,vrus,001,person,0.077008,-2.608753,2.203436,-0.094836,3.41478
0009,0001_20230322_083454,1679474140240035,005,person,0.0,0.0,3.985939,vrus,001,person,0.103141,2.710457,-0.905005,-0.053209,2.857553
0009,0001_20230322_083454,1679474140240035,005,person,0.0,0.0,3.985939,vrus,000,person,0.052394,3.491981,-2.603494,-0.110969,4.355699
