sample_id,scene_path,timestamp,target_id,target_class_name,target_x_ego,target_y_ego,target_velocity,map_label_name,f1_state,f2_state,f3_state,neighbor_rank,other_type,other_class_name,other_velocity,dx,dy,distance
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,1,vrus,person,1.890003,-0.351877,-0.608951,0.703305
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,2,vrus,person,6.458116,0.365519,-0.964098,1.031062
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,3,vrus,person,4.890862,-1.36508,0.137073,1.371945
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,4,vrus,person,5.337978,0.798484,1.648021,1.83127
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,5,vrus,person,6.412193,2.325542,0.715218,2.43304
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,6,vrus,person,5.394626,-1.811715,-2.389368,2.998565
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,7,vrus,person,5.48354,-1.581428,-2.638097,3.075788
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,8,vrus,person,5.228608,1.394367,2.816205,3.142494
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,9,vrus,person,5.825511,3.256637,3.66424,4.902279
0156,0016_20230323_083733,1679560735760020,022,person,0.0,0.0,5.446394,crosswalk,1,2,1,10,vrus,person,5.647178,4.519044,2.120401,4.991779
