sample_id,scene_path,timestamp,target_id,target_class_name,target_x_ego,target_y_ego,target_velocity,map_label_name,f1_state,f2_state,f3_state,neighbor_rank,other_type,other_class_name,other_velocity,dx,dy,distance
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,1,vrus,person,5.534784,0.28326,1.392082,1.420608
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,2,vrus,person,4.757374,-1.080445,-1.176127,1.597071
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,3,vrus,person,6.069859,1.144046,-1.222026,1.673974
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,4,vrus,person,5.168578,-1.005906,-1.35436,1.687051
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,5,vrus,person,7.161836,-1.819419,-0.738734,1.963673
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,6,vrus,person,4.41459,-0.613867,-2.884706,2.949298
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,7,vrus,person,5.878802,1.912,2.275587,2.972212
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,8,vrus,person,5.586688,3.272751,0.744013,3.356256
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,9,vrus,person,5.187605,-2.396402,-3.8925,4.571028
0151,0016_20230323_083733,1679560733680002,017,person,0.0,0.0,5.124079,crosswalk,1,2,1,10,vrus,person,5.371031,-2.061243,-4.138421,4.623337
